,class,title
36659,Sports,Crash Gordon Put on Probation
36660,Business,Economy Grew at 3.3 Percent Rate in 2nd Quarter
36661,Sci/tech,Atlantic Hurricanes Should Slow in Oct-Forecaster (Reuters)
36662,World,Somalia asks for peacekeepers
36663,Sports,Report: D #39;backs sign Glaus
36664,Sports,USC's Bush to Start at Tailback (AP)
36665,Sci/tech,Bush Signs Internet Tax Moratorium (PC World)
36666,World,N.Korea Says Reconsidering Place at Nuclear Talks
36667,Business,Credit Cards Sabotaging Mortgages
36668,Sports,Britain #39;s Law takes equestrian silver
36669,Business,Rivals line up to take on iPod
36670,Business,Apple warns about bad batteries
36671,Sci/tech,U2 iPod To Boast 400 Pre-Loaded Tracks
36672,Sports,Michael Phelps Wins 6 Gold Medals in Swimming in Athens
36673,Sci/tech,Rare Okapi Calf Doing Well at Mo. Zoo (AP)
36674,World,Two Suspect Iranian Sites Pose Headaches for IAEA
36675,Sports,J. Gordon Nabs Pole
36676,World,Ex-general set for landslide victory
36677,World,Fightings Continue in Najaf
36678,World,"89 dead in twin Russian plane crashes, terror probed (AFP)"
36679,Business,"Stocks Higher on Retail Data, Mergers"
36680,Business,"Tyson Cuts Forecast on Chicken Prices, Grain Costs (Update5)"
36681,Sci/tech,Test of Rocket Postponed
36682,Sports,Hidayat fulfills potential with badminton gold
36683,Sci/tech,Global Warming Has Arrived: Arctic Study
36684,Business,U.S. New Home Sales Fall in July
36685,Sports,Selig gets three-year extension
36686,World,"2 Chinese kidnapped in Pakistan, rescue underway"
36687,Business,Google advertising boom
36688,Business,Krispy Kreme posts big drop in net
36689,Sci/tech,Billionaire #39;s latest venture said to be out of this world
36690,World,"At Country Clubs, Gay Members Want All Privileges for Partners"
36691,World,Rain prompts Japan quake fears
36692,Business,US Steel Returns to Homestead Works
36693,World,Abductions in Iraq catch Nepal government off guard
36694,World,Afghan UN Kidnappers Await Release of 26 Taliban
36695,Sports,"Astros #39; Kent delivers, pleads for  #39;one more #39;"
36696,Sci/tech,"In healthy Indian job market, developers want it all"
36697,Business,EU approves a small rival for BSkyB
36698,World,Timely Iraq Vote a Point of Pride (AP)
36699,Business,"IBM, Kodak team up to make image sensors for cameras"
36700,Sci/tech,"Sir Godfrey Hounsfield, Who Helped Develop the CAT Scanner, Dies at 84"
36701,World,Kofi Annan declares US invasion of Iraq illegal
36702,Sports,Pirlo #39;s strike gives Milan victory
36703,Sports,We Aren #39;tA Racist Club-Real Madrid
36704,Business,Agilysys Posts 2Q Profit on Acquisitions
36705,World,Boycott of Palestinian Elections Sought
36706,Sports,Peirsol's Medal Restored
36707,World,The Kashmir flashpoint
36708,Sci/tech,Can Cybertrust BeTrusted to keep your networks TruSecure?
36709,Sci/tech,Manitas principal collaborates
36710,World,African Union Force Seen as Main Hope for Darfur (Reuters)
36711,Sports,Marlins soar to  #39;home #39; win
36712,Sports,Rovers get another headache
36713,Sci/tech,Astronaut Gordon Cooper dies
36714,World,Survey: Ex-General Will Win Indonesia Vote (AP)
36715,Sci/tech,"AOL Reconsiders, Backs Sender ID (NewsFactor)"
36716,World,Nigerian labor union to stage strike as negotiations collapse
36717,Sci/tech,Nokia combats counterfeit batteries
36718,Business,Eisner steps off Disney rollercoaster
36719,Business,US Economic Gauge Signals Weakness
36720,Sci/tech,Optical networking: The next generation
36721,Sci/tech,Operation Web Snare targets online crime
36722,Sci/tech,FCC adds spectrum for 3G services
36723,Sports,Buckley signed to replace Mickens
36724,Business,RPT-CORRECTED-US #39; Al Gore starts sustainable growth firm
36725,World,Michigan Edges Minnesota in Final Minutes
36726,Sci/tech,IBM claims to treble chip speed with  #39;strained #39; breakthrough
36727,World,Four terror suspects arrested in London
36728,Sports,Top dollar for Pele #39;s shirt
36729,World,Terror Charges In Van Gogh Slay
36730,Business,Ahold Sees U.S. Retail Profits Fall
36731,Sci/tech,Report: Chip-gear industry having a good year
36732,Business,Update 1: Virgin in Talks With Chinese Telecom Firm
36733,Sci/tech,"Greens Paint Grim Picture of Future, Warmer World (Reuters)"
36734,Sports,Kite increases lead in Sonoma
36735,World,China to revive stalled N. Korea talks
36736,Sci/tech,Allen Institute Debuts  #39;Google for Gene Activity #39;
36737,Sci/tech,Whole Foods Creates New Gluten-Free Product Line
36738,Sci/tech,New Windows version in 2006
36739,Sci/tech,August sees 10 per cent spam drop
36740,Sci/tech,Sony wares win innovation award
36741,World,"Earnings, Oil Prices Drive Stocks Lower"
36742,World,Plus ca change?
36743,Business,Siemens wins 2.7-bln-euro services contract from BBC
36744,Business,"The Dollar Is Down, but Should Anyone Care?"
36745,Sci/tech,MSN Messenger 7 Beta: Sneak Review
36746,World,Abbas calls for end to violence
36747,World,Ivory Coast Warplanes Bomb Rebel City
36748,World,Thousands of irreplaceable books feared lost in German library &lt;b&gt;...&lt;/b&gt;
36749,Sci/tech,Fewer People Paying for Music Downloads - NPD (Reuters)
36750,Sci/tech,Dell moves closer to Linux with SuSE deal
36751,Sci/tech,FedEx to Build 2nd-Largest U.S. Private Solar System
36752,Sci/tech,Researcher Risks Killer Snails for Study (AP)
36753,Business,"Time Warner net slips on legal reserve Reuters, New York &lt;b&gt;...&lt;/b&gt;"
36754,World,Man Allegedly Forges Jail Release Papers
36755,Business,"Asia Tech Stocks Weak, Dollar Firm (Reuters)"
36756,Sci/tech,U.S. Researchers Share 2004 Nobel Prize for Medicine
36757,Business,"Media Center will succeed, just not yet"
36758,Sports,"Azeri #39;s got no chance in Breeders #39; Cup: Zero, zilch, nada"
36759,World,Belgrade attack  #39;was road rage #39;
36760,Business,PeopleSoft Posts Profit
36761,World,18 Terror Suspects Nabbed in France Sting
36762,World, #39;Problems with Musharraf but US needs him #39;
36763,Sports,NCAA Game Summary - Iowa vs. Louisville
36764,Sports,Auxerre puts Rangers out of UEFA Cup
36765,World,Concern over N Korea missile test
36766,Sports,Sobrero Markgraf And Boxx One Win Away From Olympic Medals
36767,World,US mulls new Darfur resolution
36768,World,Kilborn Stays Up 'Late' for Last Time
36769,Business,J.P. Morgan Chase Profit Falls 13 Percent (Reuters)
36770,Sports,"On road, cowardly Lions no more"
36771,World,Britain Arrests Four in Anti-Terror Raids
36772,Sci/tech,Blog Search Blabble.com Takes New Approach
36773,World,Singapore will not change  quot;one-China quot; policy: PM
36774,World,"Kerry Would 'Weaken' U.S., Bush Says"
36775,Sports,Longwell gives Packers boost
36776,Sci/tech,Hitachi Joins Intel In Hard Drive Standard
36777,Sci/tech,Mac-based supercomputer drops to 7th place on Top500 (MacCentral)
36778,Sports,Solich Takes Over at Ohio University
36779,Sci/tech,Electronic Passports Might Not Measure Up (AP)
36780,Sci/tech,PluggedIn: Mobile Operators Seek Higher Sound Quality (Reuters)
36781,Sci/tech,Congress Approves DNA Testing Bill (AP)
36782,Sci/tech,Nextel Profit Up
36783,World,Thai King Urges Premier to Be More Lenient in the Muslim South
36784,Business,Pfizer Celebrex Trial Stopped After Heart Attacks
36785,Sports,"Dolphins 20, Saints 19"
36786,World,Troops ready for Mosul after Fallujah
36787,World,"Myanmar, EU draw lines in the sand"
36788,Sports,N.Y. Boxing Officials Suspend Holyfield (AP)
36789,Sci/tech,IBM supercomputer claims new record
36790,Sports,"Kite goes everywhere, but stays at the top"
36791,Business,Delta gets share incentive boost
36792,Sports,"With this effort, they #39;re silver belles"
36793,World,"Rein in militias, UN tells Sudan"
36794,Business,Argosy is merger target
36795,Sports,Bucks Beat Timberwolves 76-75 at Buzzer (AP)
36796,Business,UPDATE: US Investigating Tommy Hilfiger On Commissions
36797,Business,Merck Down on Arthritis Study
36798,Sports,Springboks beat Australia in tr-nations rugby
36799,Sports,One man #39;s leg could be pivotal
36800,World,Dignitaries Expected at Arafat's Funeral (AP)
36801,Business,Nikkei Poised to Fall for 8th Day
36802,Business,Oil Slips from Record High of \$46.30
36803,Sci/tech,Dell to Sell More Security-Proofed Business Hardware
36804,Business,Update 4: Tokyo Stocks Open Lower on Oil Surge
36805,Sports,Clarke: Goodenow the problem
36806,Business,Take-Two Sacked on Fourth Down
36807,Business,Legal fees add to James Hardie #39;s troubles
36808,World,Malaysia press relieved at Anwar release
36809,Sci/tech,Digital signatures  #39;could be forged #39;
36810,World,U.S. Raids Afghan Compounds in U.N. Hostage Search
36811,Sports,Singh bids to make it an elite PGA foursome
36812,Sports,Westwood Tough to Beat at Ryder Cup (AP)
36813,Sci/tech,Apple #39;s iPod takes the lead on Sony #39;s home turf
36814,Business,University wrestles with controversial donation 
36815,Sci/tech,Mitsubishi pulling out of large LCDs
36816,Sports,One-year deal avoids arbitration
36817,Sports,Blackhawks Re-Sign Goalie Leighton (AP)
36818,Sci/tech,Cornell scientists look at lilacs for evidence of earlier spring
36819,Sports,Holders Porto held to draw
36820,Sports,Pedro to Emerge From Schilling's Shadow (AP)
36821,Sports,Big spenders are making waves in Cup
36822,World,Explosives go missing in Iraq
36823,World,Milosevic to open trial defence
36824,Sci/tech,Churches launch climate campaign
36825,Business,"Justice, tobacco lawyers debate racketeering law"
36826,Sci/tech,Speech recognition  #39;on-a-chip #39; inside three years
36827,Business,CEO: Altria preparing to break up company
36828,Sci/tech,Caught in a phishing trap
36829,Sci/tech,Microsoft to Launch New Small Business Software
36830,Sci/tech,Microsoft Desktop Search Beta Coming Soon
36831,Business,Market closes weaker
36832,Sci/tech,Study: Few corporations use anti-spyware tools
36833,World,Cuban-American Is Likely GOP Senate Candidate in Florida (Reuters)
36834,Sports,Ganguly suspended for two Tests by ICC
36835,Sci/tech,Last call for the legendary atomic keyring
36836,World,Four injured in blasts
36837,Business,Nortel delays report again
36838,Sports,Vice chairman wants Wenger to stay for life
36839,Sci/tech,Cell phones could keep atomic time
36840,Sports,PGA Grand Slam to return to Poipu Bay in  #39;05
36841,Sports,Woods Ends Drought with Japan Breakthrough
36842,Business,Nigerian strike draws to a close
36843,Sports,Palmer: Americans Need to Widen Horizons
36844,World,Stocks Move Higher As Oil Prices Dip
36845,Business,Oracle May Lower Its PeopleSoft Bid
36846,Business,A rose is a rose -- except when it's a stereo speaker
36847,Business,Former Financier Pleads Not Guilty to New Charges
36848,World,Sadr Militia Still Controls Iraq Shrine -- Witness
36849,Sci/tech,XM Satellite Radio to Begin Broadcasting on Web
36850,World,Rwanda: UN  #39;feeling guilty #39;
36851,World,US planes pound Fallujah as talks break down
36852,Business,"Oil Falls from  #36;49, Iraq Violence Peaks (Reuters)"
36853,Sports,Fallon among 16 arrested in British race-fixing probe
36854,Sci/tech,Chip-Maker Agere Posts Loss on Charges (AP)
36855,Sci/tech,PeopleSoft aims to keep worker morale high
36856,World,Australian opposition leader to win campaign but lose election: analysts (AFP)
36857,Sci/tech,Scientists Recover Critical Genesis Parts (AP)
36858,Business,"Stocks to Open Higher, Oil Still Focus"
36859,Sports,"Patriots, Steelers rule AFC"
36860,World,US forces claim hold of Fallujah within two days
36861,Sports,Sports: Padres 10 Cardinals 5
36862,Sci/tech,Oracle attracting MySQL users
36863,Sports,"Knicks: Wilkens spells out goals, starting with  #39;D #39;"
36864,Business,"Amgen Net Down, Adjusted Earnings Rise"
36865,Sci/tech,Lethal algae discovered off coast
36866,Sci/tech,Oracle Extends Hostile Offer for PeopleSoft
36867,Business,The day Hardie #39;s sums didn #39;t add up
36868,Business,Oil Prices Fall as Concerns About Supply Begin to Ease
36869,Sports,Magic Beats Heat in Preseason Finale (AP)
36870,World,The myth of the first 100 days and Susilo #39;s real challenges
36871,Business,Business in Brief
36872,Business,Swiss remain competitive despite ratings slip
36873,Sci/tech,Nintendo ahead of the game
36874,Business,Hutchison Whampoa Unit Expects To Raise Up to 1.13 Billion in IPO
36875,Sci/tech,Google Reports \$805 Million in Gross Revenues for Third Quarter
36876,Sports,Inkster 1 back after Lindley fires 65
36877,Sports,Red Zone Just Scored = Possession  All Times Eastern
36878,Sci/tech,"Schools, Libraries Internet Aid Delayed"
36879,Sci/tech,Adware War Heading to Federal Court
36880,Sci/tech,A New Script for Searching Texts Written by Hand
36881,Sports,"Kovalev, Richards and Khabibulin join Russian club"
36882,World,Poll predictions have ruling party ahead in Romania
36883,Business,Early rates rise tipped for Australia after near record imports
36884,Sci/tech,"Fossil Pushes Upright Walking Back 2 Million Years, Study Says"
36885,Sports,Portis leads way with 148 yards rushing
36886,Sci/tech,From Spam to SPIT
36887,Business,Shoppers to boost holiday spending
36888,Sports,Donohoe quits after marijuana arrest
36889,World,"UN counts 70,000 dead in Darfur crisis "
36890,Sports,McGahee Helps Bills Beat Broncos 16-6 (AP)
36891,World,Rescue Teams Discover Magnitude of Philippines Storms Disaster
36892,World,Delay in Jan. vote sought
36893,Sci/tech,MPAA files Internet suits
36894,World,Gloom for EU growth targets
36895,World,AUSTRALIA TO FORGIVE IRAQI DEBT
36896,Sci/tech,Apple #39;s nifty  and expensive  iPod Photo isn #39;t for everyone
36897,Sports,Padres acquire Gonzalez from Expos
36898,Business,Qualcomm Sees Spike in its Future
36899,World,French Leaders Discuss Hostage Crisis in Iraq (Reuters)
36900,World,Floodcrest passes Three Gorges safely
36901,Sports,Reports say talks with Irish duo have collapsed
36902,Business,Time for US to spank Fannie
36903,Business,Progress on Eurostar strike talks
36904,Sports,Kahn rejects blame for loss despite late blunder
36905,Sci/tech,Microsoft Takes Lead in PDA Shipments (AP)
36906,Sports,Yankees restore some order
36907,Business,US firm awarded extended contract for Antarctica work
36908,Sports,Angels move 1 game ahead in AL West
36909,Sports,FOOTBALL: FAB TAKES MICC TO DUMP FINNS
36910,Sports,Safin Beats Stepanek for 3rd Masters Crown
36911,Sci/tech,Oracle readies integration splash
36912,Sci/tech,"California cities, counties sue Microsoft"
36913,Sports,ATHENS OLYMPICS 2004 / Crawford leads US sweep in 200
36914,Sci/tech,Munich to press on with Linux switch
36915,Sports,De la Hoya losesdate with destiny
36916,Business,Treasuries Yields Near Recent Lows (Reuters)
36917,Sci/tech,Does the Patent System Need an Overhaul?
36918,Sports,Knicks snap out of it
36919,Sci/tech,easyMusic picks Wippit for pre-Xmas launch
36920,World,Iraqi Government Dismisses Calls to Postpone Elections
36921,Sci/tech,Court Asked to Settle File-Sharing Dispute (AP)
36922,Sports,"For Angels, wings and a few prayers"
36923,World,Attackers Strike U.S. Consulate in Jiddah (AP)
36924,Sports,Benson Leads No. 5 Texas Over Rice 35-13 (AP)
36925,World,PLO chief vows crackdown on violence
36926,Sports,Arrington gives Bears a big game
36927,Sports,Tennis player earns card for Australasian Tour
36928,Business,Rosy outlook from Greenspan fails to sway many economists
36929,Sci/tech,Via to enter 64-bit processor market
36930,World,Tropical storm Jeanne to bring floods and deaths to Haiti
36931,Business,Update 3: DuPont Agrees to Settle in Teflon Suit
36932,World,"Taiwan issues shooting report, but mystery remains"
36933,Business,"US Stock-Index Futures Decline; Citigroup, GE Slip in Europe"
36934,Business,Biffa upturn helps to steady Severn
36935,Business,Fed Debates Policy for Post-Greenspan Era
36936,Sports,British rower Pinsent retires
36937,World,Car Bomb Blast Near Allawi HQ in Baghdad Kills 2
36938,Sports,Wistrom bottles up Buccaneers
36939,Business,PeopleSoft Ousts Conway From CEO Job
36940,Sci/tech,NOT PLAYING GAMES
36941,Sports,Singh Unseats Woods
36942,Sci/tech,Tree project to target under-16s
36943,World,Bridging Hip-Hop Consumers and Suits
36944,Sports,Protest banner unfurled before Powell visit
36945,World,Russia Ships Join NATO Anti-Terror Patrol (AP)
36946,Business,"BellSouth, SBC Communications to purchase YellowPages.com"
36947,Sports,NBA players and supporters charged
36948,Business,Cytec buys Surface Specialities business from UCB
36949,Sports,"This lying, sneaky spirit of the Games"
36950,Sci/tech,Tech Whiz Aims to Boost Third World Care (AP)
36951,Business,Merck gets rights to obesity drug
36952,Sports,Athletics Win to Hang on to AL West Lead (AP)
36953,Sci/tech,Tiny Sensors That  Can Track Anything
36954,Sports,Bonds Named Player Of The Year By MLB Players
36955,Sci/tech,Playboy Publishes More of the Google Interview on Playboy.com
36956,Business,General Dynamics Profit Up 23 Percent
36957,World,A Family Crisis in Divided Sudan
36958,Sci/tech,Inventor Rejoices as TVs Go Dark
36959,World,The Black Widows' Revenge
36960,World,Violence as Karzai sacks governor
36961,Sports,"After towel drop, some big-league hypocrisy"
36962,Sports,Yankees could be without Rivera early in ALCS
36963,Sports,Garcia and Nelson accept probation for bullpen incident
36964,Sci/tech,Hybrid Phones Keep Getting Smarter
36965,World,Australian PM Howard Easily Re-Elected (AP)
36966,Business,Philips Posts Best Quarterly Results in Four Years
36967,Business,Fed speakers reinforce view for rising US interest rates
36968,Business,"Startup no more, Netflix girds for DVD rental price war"
36969,Sports,Williams retirement saga continues
36970,Sports,The Playoffs/News  amp; Notes: Major League Baseball recalls bad taste &lt;b&gt;...&lt;/b&gt;
36971,World,World powers and neighbours back Iraqi elections
36972,Business,"India to benefit from FDI flows, says UNCTAD report"
36973,Sci/tech,Titan #39;s Drumroll Please
36974,Sci/tech,Did Jobs woo Sony boss over iTunes anti-Gates love-in?
36975,Sports,Florida notebook: Focus on defense after loss
36976,Sci/tech,Judge Bars R.I. Man From Sending 'Spam' (AP)
36977,World,Family #39;s tribute to murdered man
36978,Business,"EU downgrades 2005 growth forecast on high oil prices, euro rally"
36979,Business,Monthly Bill Fatigue
36980,Business,"Capacity for 4,000 MP3 Files"
36981,Business,"WPP Wins Bidding for Grey, Beating Havas, Hellman (Update1)"
36982,Sci/tech,Big blue Stinger challenges SMB rivals on price
36983,Business,PLAY IT AGAIN
36984,World,Iran Defiance Threatens Euro Bid to End Nuclear Row
36985,Sci/tech,Three Rivals To Release Networking Devices That Target Convergence &lt;b&gt;...&lt;/b&gt;
36986,Sports,Holmes relaxes and gives rivals a chance
36987,Sci/tech,Berlin Zoo Separates Baby Rhino from Clumsy Mother (Reuters)
36988,Business,Sensei's World (Forbes.com)
36989,World,Crew Reounts  #39;Nightmare #39; on the Atlantic
36990,Business,Web access in sky set to take off
36991,Sci/tech,New Windows Flaw Targets JPEG Images
36992,Sports,Destiny and title awaits Taylor
36993,World,"Powell to visit Europe, Africa on healing mission"
36994,World,Do They Know It's Simplistic?
36995,Business,Fred #39;s profit down after June and July disappoint
36996,Sci/tech,"TruSecure, Betrusted Merge To Form Cybertrust"
36997,World,Myanmar to Release More Prisoners
36998,Sci/tech,"Sony May Open Stores, Worrying Retailers (AP)"
36999,Sci/tech,Sony Cyber-shot DSC P150
37000,Sports,No. 2 Oklahoma Sooners Down Oregon Ducks
37001,Sports,Henman slams Cup schedule
37002,World,Russia Blames Terrorism for Downed Plane (AP)
37003,Sports,Woe are the Red Sox? maybe next week
37004,Sci/tech,Video games
37005,Business,Report: Eisner won #39;t be on Disney #39;s board
37006,Sports,North Shore (10-2) vs. East Boston (11-0)
37007,Business,Baxter puts flu vaccine tests on hold
37008,Sci/tech,Licensing  #39;appeasement #39; triggered Longhorn change
37009,World,Brazil Seeks Airline Debt Payment Plan
37010,Business,"Kuwaitis, Saudis pledge oil help"
37011,Sports,Malaysia Airlines Herald Sun Tour of Provincial Victoria - 2.3
37012,Sci/tech,Networks in a Duel of Technology
37013,Business,After the battle comes the war
37014,Business,Existing home sales decline
37015,World,Europes big three gives Iran last chance to come clean on &lt;b&gt;...&lt;/b&gt;
37016,Sports,More injury woe for Liverpool boss
37017,Sports,Johnson's Quickfire Hat-Trick Leads U.S. Past Panama
37018,World,Reporters on the Job
37019,Business,Nigeria fuel price strike starts
37020,World,Stocks Slide on Lackluster Job Report
37021,Sports,CLARKE URGES BLUES TO TAKE CHANCE
37022,Sci/tech,China #39;s online shopping in web of problems
37023,Business,"Circuit City Cuts Loss, Stock Soars"
37024,Sports,Argos WR Andre Rison seems a little underwhelmed by his CFL debut
37025,Sports,"Radcliffe confirms bid for 10,000m"
37026,World,Rate Hike May Push Stock Market Lower
37027,Business,China overtakes United States as top destination for foreign investment (AFP)
37028,Sci/tech,Dinosaur slept in bird-like pose
37029,Sci/tech,Forecast: Plenty of Activity On the Weather Blog Front
37030,Sports,COLLEGE BASKETBALL: Reed #39;s 23 leads WMU to 5-2
37031,Sci/tech,Microsoft to add rivalry to Google on search service
37032,Business,"Motorola, others profit from major Sprint upgrade"
37033,Sports,Nowitzki's 53 Overshadows LeBron-Carmelo (AP)
37034,Sci/tech,IPod creates its own economy (USATODAY.com)
37035,World,BSE 'link to different CJD types'
37036,Sports,Can Lara finally come good?
37037,Business,Marsh puts fees in contingency fund
37038,World,Typhoon Chaba approaches southwestern Japan
37039,Sci/tech,Call for Speakers - Search Engine Strategies Stockholm
37040,Sci/tech,Microsoft Software to Remove Spyware
37041,Sci/tech,CA CEO: IT is too complex
37042,Business,Reasons to Like Four Seasons
37043,Business,Lawmakers OK new rules on special education
37044,World,Blasts kill 20 in northeast India
37045,World,Move to bolster Lebanon president
37046,Sports,Benitez on Deportivo draw
37047,World,Kashmir separatists to discuss peace plan
37048,Business,"Payless Sales Drop, President Exits"
37049,Sports,"Disney, NFL look bad after racy MNF intro"
37050,World,US airstrikes leave 11 dead in Iraq
37051,World,Dog lovers appeal to N.B. politicians not to restrict dogs based on breed (Canadian Press)
37052,World,Strong Quake Shakes Philippine Capital
37053,Sci/tech,Strong Earthquake Rattles New Zealand's South Island (Reuters)
37054,Sports,Tamada steals pole position for home GP
37055,Sci/tech,The Broken Window Fallacy
37056,Sports,Major ankle op for Thomas
37057,Business,Apollo to buy Goodman Global for \$1.43B
37058,Business,Telekom Austria secures right to buy MobilTel
37059,Sci/tech,MSN Music: It #39;s really about Windows
37060,World,British Prime Minister in Sudan
37061,Business,"Magna subsidiary Decoma to close Toronto-area plant, post US\$36M &lt;b&gt;...&lt;/b&gt;"
37062,Business,Factory Orders Drop Despite Expectations (AP)
37063,World,Bavaria bans teacher headscarves
37064,World,Afghans Hold Taliban Suspects for Karzai Attack
37065,Sci/tech,Infogrames sells Civilisation franchise for \$22.3m
37066,World,Malaysia #39;s Anwar Ibrahim Freed From Prison on Final Appeal
37067,Sci/tech,Firefox takes torch from Microsoft browser
37068,Sci/tech,Microsoft users catch price break
37069,Sci/tech,Poor Lucene Ranking for Short Text
37070,Sci/tech,Elcoteq Focuses on Design to Tap Hefty Demand
37071,Sports,Manning Tames Bears
37072,World,"A ball of fire, then bloodshed"
37073,Sports,Late strike keeps Wolfsburg on top
37074,Business,Coles says new ALH bid unacceptable
37075,Sci/tech,Photos: Sony's pocket-size PC
37076,Sports,Broadhurst keeps promise to wife in Madrid
37077,Sci/tech,KDDI beats DoCoMo in net cell phone subscription growth
37078,Sports,"ROWNS 17, REDSKINS 13; Redskins 1-for-11 on third downs"
37079,Sci/tech,Verizon wins Vodafone backing for Sprint bid - report (AFP)
37080,World,India #39;s decision on troop reduction cosmetic: Musharraf
37081,World,Russia Slams West for Double Standards on Beslan (Reuters)
37082,Sci/tech,Brazil Garbage Dump Could Be Climate Trailblazer (Reuters)
37083,Sports,Closer Percival OKs \$12M deal with Tigers
37084,Business,"Court case an attempt to distract shareholders, says Harmony"
37085,Sports,"Washington, DC Council Moves on Baseball Funding"
37086,Sports,"Freeney finishes with 3 tackles, 2 sacks"
37087,World,Video of shooting by Marine stirs outrage
37088,Sports,Mularkey shrugs off Martz #39;s complaints of Bills cheap shots
37089,World,Two blasts hit northwest Spain
37090,Business,"US Airways, pilots union break off talks"
37091,World,Bank of Ireland Posts Rise in Earnings (AP)
37092,Sports,Irish Help European Team at Ryder Cup (AP)
37093,Sci/tech,DoCoMo Looking for Cingular Deal?
37094,Sci/tech,Yahoo! Storage Now 250 MB
37095,World,Ramirez OK After Fouling Ball Off Knee
37096,Sci/tech,Does Your Copy Look Fake To the Search Engines?
37097,Business,GE Spins Off Indian BPO Unit
37098,World,Crash probe focuses on car driver
37099,Sci/tech,Schools Must Help in Fight Against Obesity
37100,Business,"Macy #39;s, Bloomingdale #39;s \$3 billion portfolio in view"
37101,World,Israel Plans Large-Scale Gaza Operation
37102,Business,"AO Smith Lowers 3Q, Year Outlook"
37103,Sports,Cardinals Rain Power on Astros Once Again
37104,Business,"Jobs, Economy Focus of 2 Big Protests"
37105,World,Israeli helicopters fire missiles on Gaza camps
37106,Sci/tech,Shuttle schedule clouded by hurricanes
37107,Sports,Muslim Player Who Sought Exemption Quits (AP)
37108,World,Colombians Still Thirsty for Brewpubs
37109,Sci/tech,Astronaut to Meet Baby Daughter on Return to Earth (Reuters)
37110,Business,South Korea #39;s Kospi also tumbles after US loss
37111,Sci/tech,\$1 million bail for spammer
37112,World,Russia #39;s grim return to reality
37113,Sports,GB boss defends swimmers
37114,Sports,"Rovers, Blues draw"
37115,World,Palestinian Gunmen Kidnap CNN Producer
37116,Sports,Names in the Game
37117,Business,"J J, Guidant Talks Undeterred by Overlap"
37118,Business,Nikkei Rises by Midday
37119,World,Relatives claim bodies of 78 people who died in riots in Thailand
37120,Sports,Park shoots first-round 62
37121,Sports,N.B.A. Suspends Artest for the Rest of the Season
37122,World,Governing party leads in Romania
37123,Sci/tech,Nokia To Offer BlackBerry Software
37124,Business,"Wall St. shops, too?"
37125,World,Debate On Turkey #39;s Prospects Dominates Run-Up To Summit
37126,Sci/tech,That's rich: Gates tops Forbes list once again
37127,World,Arabs: Support for Israel taints reform efforts
37128,Sci/tech,Dell warns on fire-risk laptops
37129,World,Japan to Keep Troops in Iraq Despite Hostage-Taking
37130,World,Ex-Soldiers Take Over Aristide #39;s Home
37131,World,"Britain, S.Africa Renew Call for Fair Zimbabwe Polls (Reuters)"
37132,World,Australian PM to Call Oct. 9 Election - Media (Reuters)
37133,Sci/tech,Are you Chicken? Genome study shows we share half their genes!
37134,Business,UPDATE 1-Euro Disney deal brings relief but challenges loom
37135,World,Paul Martin continues to hope for survivors among 150 missing Canadians (Canadian Press)
37136,Sports,Bentley comes home just ahead of NE-10 crowd
37137,Business,ATA Airlines enters receivership
37138,Business,Mortgage Applications Climb Last Week (Reuters)
37139,Sports,Los Angeles Lakers Team Report - December 1
37140,Sports,U.S. Gymnasts Win 3 Medals; Hamm Angry (AP)
37141,World,Blair says Mid East peace is key to beating terror
37142,World,Former Shell Chairman Appeals Censure (AP)
37143,Sports,Starters: Nothing was something
37144,Sports,State police seek answers in former NFL player #39;s fiery death
37145,Business,AP: CNNfn Will Shut Down After 9 Years
37146,World,"Ivan Pummels Caribbean, Kills at Least 15"
37147,World,Israeli coalition partner #39;s threat raises possibility of early &lt;b&gt;...&lt;/b&gt;
37148,World,"Slow Economy, Oil Prices Send Stocks Down"
37149,Business,Oil Ends Up as Nigeria Worries Persist
37150,Sports,ncaa football Coaching with heavy heart
37151,Sci/tech,Nvidia to put more force behind Intel processors
37152,Business,"Wal-Mart, Retailers #39; November Sales Slow as Gas Prices Rise"
37153,Sports,Tennessee Knocks Georgia from Unbeaten Ranks
37154,Sci/tech,Cisco to Buy P-Cube for About  #36;200 Million (Reuters)
37155,Sci/tech,Virgin Mary sandwich?
37156,Business,Supply worries lift oil near \$50 US
37157,World,Thwarted U.S. May Seek Lone Push on Iran Sanctions (Reuters)
37158,World,Nepal police killed by landmine
37159,Sci/tech,Sony takes on iPod with new hard disk Walkman
37160,World,U.N. Calls on N.Korea to Scrap Its Atomic Arsenal (Reuters)
37161,Sci/tech,Shrimp Imports Tightened to Save Turtles (AP)
37162,World,US probes flu jab 'price scams'
37163,Sports,Fergie blasts  #39;mental #39; Wenger
37164,Sports,Short Series was long on highlights
37165,Business,Oil Price Down 8 for Week; Decline Seen in Speculation
37166,World,Northern Afghan warlord gathers thousands for presidential rally (AFP)
37167,Business,US: Time Running Out in Airbus-Boeing Row (Reuters)
37168,Sports,"4 of a kind for 1st-place Twins, 5-3"
37169,Sci/tech,Bid to Salvage Solar Evidence from Crashed Capsule
37170,Business,Future Bright for Islamic Finance
37171,Sports,Trailing by 16 points no problem for Rattay
37172,World,Officials Far Apart on Iraq Debt Relief
